"Path","ItemType","Category","Target","Reason","TrackedAtFrozenTag","Bytes","SHA256","LastWriteTimeUtc"
".mbed","File","吸收","BSP/Storage/新工程配置与阶段 0 合同","保留功能、资源或构建语义，不逐行照搬旧实现。","True","7","BC55A202BC4CC62E4B9E66D2C70115C1DE2617BE7A30A44D34A96F3C3E940753","2021-01-05T01:22:30.0000000Z"
"BUILD","Directory","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。",,,,"2026-08-27T16:39:39.1177564Z"
"BUILD/analogin_api.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1097337","A550CDADF7532185E2C8CCB1103AF1EF334D6B999F4C337D0744240E92024FBF","2026-07-13T09:27:20.1034435Z"
"BUILD/analogin_api.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8641","877E1A4A9E52A03614BED3F4135836CC309B2BC3CCEF90461757AA8ACAF2BC68","2026-07-13T09:27:20.1054445Z"
"BUILD/analogin_api.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1204160","B915EB1086E5C6FC06446B03F23BE2F428132C24E9B56CEE4704D5DC4A38A118","2026-07-13T09:27:20.7297491Z"
"BUILD/analogin.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1115410","DBAA0B79943EA39131917E4A56B6B8FCD709E5CE10BA391F7786063499283AAA","2026-07-13T09:27:20.0894516Z"
"BUILD/analogin.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8393","3173683C97EB577965240414FB3EDF6A497F4E3C1C0334A3AFDBEA3E5F929E96","2026-07-13T09:27:20.0944491Z"
"BUILD/analogin.o","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1221160","1BBCB5D67E92C24FA6AEB8CBCFAC6765BC3B6249651E7DCFA24D0DEDCB91A0F2","2026-07-13T09:27:20.7147479Z"
"BUILD/analogout_api.crf","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","1095416","5B45B680EFE483CD75DF17267F493DE5AB9E2764B72EDF5455577F2A768D9B0E","2026-07-13T09:27:20.0364461Z"
"BUILD/analogout_api.d","File","吸收","Migration/Baseline/Evidence/build（只保留日志、map、axf 摘要；其余重建）","Keil 生成物，不进入新工程源码；本清单记录原始文件哈希。","False","8662","9B5806C2C722ECEBA41091674937324473B599A834BF2CFB10F3D08E857091D4","2026-07-13T09:27:20.0384476Z"
